"DateTime","Bus","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"20-OCT-2013 07:30","3",0.00,0.00,11.00,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","4",0.00,4.14,11.00,0.00,22.74,0.00,0.00
"20-OCT-2013 07:30","5",0.00,0.00,11.00,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","6",0.00,0.00,11.00,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","7",0.00,0.00,11.00,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","10",0.00,0.00,10.72,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","11",0.00,0.00,10.72,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","12",0.00,0.00,10.71,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","13",0.00,0.00,10.64,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","14",0.00,0.00,10.46,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","16",0.00,43.59,10.45,0.00,227.79,0.00,0.00
"20-OCT-2013 07:30","17",0.00,0.00,10.41,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","18",0.00,0.00,10.42,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","19",0.00,0.00,10.43,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","20",0.00,32.32,10.49,0.00,169.53,0.00,0.00
"20-OCT-2013 07:30","21",0.00,0.00,10.48,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","22",0.00,0.00,10.48,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","24",0.00,54.24,10.48,0.00,284.24,0.00,0.00
"20-OCT-2013 07:30","25",0.00,0.00,10.47,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","26",0.00,0.00,10.47,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","27",0.00,0.00,10.47,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","28",0.00,0.00,10.39,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","29",0.00,0.00,10.39,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","30",0.00,0.00,10.41,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","31",0.00,1.44,10.39,0.00,7.48,0.00,0.00
"20-OCT-2013 07:30","32",0.00,41.00,10.66,0.00,218.46,0.00,0.00
"20-OCT-2013 07:30","33",0.00,0.00,10.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","34",0.00,6.49,10.85,0.00,35.18,0.00,0.00
"20-OCT-2013 07:30","35",0.00,0.00,10.85,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","36",0.00,47.41,10.46,0.00,247.82,0.00,0.00
"20-OCT-2013 07:30","37",0.00,0.00,10.44,0.00,0.00,0.00,0.00
