"DateTime","Offer","Generation (MW)","FIR (MW)","SIR (MW)"
"20-OCT-2013 07:30","ARA2201 ARA0",27.00,0.00,0.00
"20-OCT-2013 07:30","ARG1101 BRR0",11.00,0.00,0.00
"20-OCT-2013 07:30","ARI1101 ARI0",46.00,0.00,0.00
"20-OCT-2013 07:30","ARI1102 ARI0",21.00,0.00,0.00
"20-OCT-2013 07:30","ASB0661 HBK0",15.00,0.00,0.00
"20-OCT-2013 07:30","ATI2201 ATI0",15.01,2.00,3.00
"20-OCT-2013 07:30","AVI2201 AVI0",96.25,7.20,17.74
"20-OCT-2013 07:30","BEN2202 BEN0",238.63,17.85,21.42
"20-OCT-2013 07:30","BOB1101",0.00,0.49,3.32
"20-OCT-2013 07:30","BPE0331 TWF0",0.00,0.00,0.00
"20-OCT-2013 07:30","BWK1101 WPI0",0.00,0.00,0.00
"20-OCT-2013 07:30","COB0661 COB0",0.00,0.00,0.00
"20-OCT-2013 07:30","COL0661 COL0",39.00,0.00,0.00
"20-OCT-2013 07:30","CPK0331",0.00,0.00,4.02
"20-OCT-2013 07:30","CYD2201 CYD0",165.00,23.10,28.05
"20-OCT-2013 07:30","GLN0332 GLN0",37.00,0.00,0.00
"20-OCT-2013 07:30","HAM0331",0.00,0.00,0.00
"20-OCT-2013 07:30","HIN0331",0.00,0.00,1.20
"20-OCT-2013 07:30","HLY2201 HLY1",0.00,0.00,0.00
"20-OCT-2013 07:30","HLY2201 HLY2",0.00,0.00,0.00
"20-OCT-2013 07:30","HLY2201 HLY3",0.00,0.00,0.00
"20-OCT-2013 07:30","HLY2201 HLY4",0.00,0.00,0.00
"20-OCT-2013 07:30","HLY2201 HLY5",290.00,0.00,0.00
"20-OCT-2013 07:30","HLY2201 HLY6",0.00,0.00,0.00
"20-OCT-2013 07:30","HWA1101 PTA1",10.50,0.00,0.00
"20-OCT-2013 07:30","HWA1101 PTA2",10.50,0.00,0.00
"20-OCT-2013 07:30","HWA1101 PTA3",0.00,0.00,0.00
"20-OCT-2013 07:30","HWA1102 WAA0",7.00,0.00,0.00
"20-OCT-2013 07:30","HWA1102 WAA1",7.00,0.00,0.00
"20-OCT-2013 07:30","HWB0331 MAH0",0.00,0.00,0.00
"20-OCT-2013 07:30","HWB0331 WPI0",0.00,0.00,0.00
"20-OCT-2013 07:30","KAW0111",0.00,0.00,0.00
"20-OCT-2013 07:30","KAW0112",0.00,0.00,0.00
"20-OCT-2013 07:30","KAW0112 ONU0",20.00,0.00,0.00
