"Date","NumTradePeriodsStudied","Trader","Generation (MWh)","FIR (MWh)","SIR (MWh)"
"20-OCT-2013 00:00",1.00,"38412",18.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"38428",0.00,0.25,1.66
"20-OCT-2013 00:00",1.00,"38433",474.00,11.55,43.03
"20-OCT-2013 00:00",1.00,"38459",318.00,19.90,28.60
"20-OCT-2013 00:00",1.00,"38481",536.00,24.21,44.37
"20-OCT-2013 00:00",1.00,"38486",260.51,17.00,25.00
"20-OCT-2013 00:00",1.00,"38511",0.00,0.00,2.40
"20-OCT-2013 00:00",1.00,"38515",0.00,20.00,20.00
"20-OCT-2013 00:00",1.00,"38527",10.00,15.50,15.50
"20-OCT-2013 00:00",1.00,"38539",20.75,0.00,0.00
"20-OCT-2013 00:00",1.00,"38546",100.00,5.54,5.24
"20-OCT-2013 00:00",1.00,"38547",56.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"38552",0.00,0.00,8.94
"20-OCT-2013 00:00",1.00,"38555",0.00,0.00,2.01
"20-OCT-2013 00:00",1.00,"38567",0.00,3.50,8.75
